云朵工厂	1003596	包包	品牌	品牌	18	2722778626	15824833937	完成	
茵曼旗舰店	100776	衣服	品牌	品牌	19	105129868	13544917994	完成	
三利家纺旗舰店	10041191	家居	品牌	品牌	9	498471816	15200098173	完成	
两三事旗舰店	150391	衣服	品牌	品牌	25	703006017	15920106017	完成	
浪莎官方旗舰店	1002737	衣服	品牌	品牌	20	1437095630	18058953709	完成	
浪漫一身旗舰店	111218	衣服	品牌	品牌	28	855007009	13675862676	完成	
韩都衣舍旗舰店	100682	衣服	品牌	品牌	8	1247333670	15966625662	完成	
飞科旗舰店	100181872	创意家电	品牌	品牌	25	1286755887	15996208081	完成	
戴维贝拉	10013467	童装	品牌	品牌	23	2259931531	18722827621	完成	
奔跑吧兄弟官方旗舰店	1001084529	配饰	品牌	品牌	11	116621356	18210305158	完成	
报喜鸟女装旗舰店  	10011383	衣服	品牌	品牌	11	16616616	0577-67983382	完成	
百雀羚旗舰店	164799	美妆	品牌	品牌	7	2925559263	13717743346	完成	
VaLS旗舰店	100664422	男装	品牌	品牌	21	983457411	15527156572	完成	
salinasboys官方旗舰店	100665133	男装	品牌	品牌	11	25248524	18670333530	完成	
PaulFrank大嘴猴旗舰店	1001254720	鞋子	品牌	品牌	22	359888771	15664781842	完成	
cocobella旗舰店	133295	衣服	品牌	品牌	10	76733550	15901135394	完成	
OZ奥芝	100588014	衣服	华东	品牌	23	997502561	15518009689	完成	
七格格	145313	衣服	品牌	品牌	10	2355321664		完成	
南极人家纺旗舰店	174763	家居	品牌	品牌	9	485393792		完成	
真实家	142101	鞋子	华北	工厂	9	2011682114	17710224875	完成	
亦美珊泳衣  	1002369	衣服	华北	工厂	15	458604385	15990006078	完成	
丝之莎内衣	195772	衣服	华南	工厂	15	1653588635	15113823327	完成	
时尚投缘	111744	鞋子	华南	工厂	26	561889266	15012787756	完成	
欧美潮鞋	101949	鞋子	华北	工厂	9	847337179	18971258580	完成	
好多包时尚女包	126011	包包	华南	工厂	22	294031715	13265111566	完成	
韩时尚女鞋	102113	鞋子	华北	工厂	25	289892961	18983722156	完成	
韩包欲放	116667	包包	华北	工厂	25	6730064	15902745786	完成	
穿花点水旗舰店	124355	衣服	华东	工厂	18	459425865	15167107671	完成	
步履不停	120775	衣服	华东	工厂	26	1499552732	18326885189	完成	
ZZ大小姐	106761	衣服	华东	工厂	26	408897368	18605882893	完成	
MOSTIN	1003793	衣服	华北	工厂	18	373962832	13563802006	完成	
missmo	140061	鞋子	华南	工厂	18	943604797	13380025267	完成	
deenni美鞋铺	106401	鞋子	华南	工厂	18	793646074	13540229022	完成	
Cat	151751	衣服	华南	工厂	26	414145925	18505153995	完成	
A-MIN	105329	衣服	华南	工厂	9	960034560	13416206072	完成	
1313气场女装	100014	衣服	华南	工厂	14	875304872	15017802825	完成	
desire	196750	衣服		工厂	6	561213891		完成	
丁丁铺	108500	衣服	华东	优质	17	89438083	13588834907	完成	
阿伟家	113530	衣服	华东	优质	20	807168370	15267597332	完成	
鲲戈鞋业旗舰店	124201	鞋子	华南	优质	72	154075264	0	完成	
倾城之恋	105059	配饰	华东	优质	13	471715455	18106595867	完成	
